file,dataset_name,epsilon,attack_method,adversarial_model_name,method,state,mae,rmse,,,
log2025-06-13 09:25:22.857255.txt,CERNET,0.06,FGSM,,Normal,未擾動,1317.501025,1772.200218,,1317.5,1772.2
log2025-06-13 09:31:53.430175.txt,CERNET,0.06,Normal,,AT,擾動,1572.760095,2150.419523,,1572.76,2150.42
log2025-06-13 09:31:53.430175.txt,CERNET,0.06,Normal,,AT,未擾動,1449.66842,1932.723104,,1449.67,1932.72
log2025-06-13 09:31:53.430175.txt,CERNET,0.06,Normal,,Normal,擾動,1731.218701,2205.03314,,1731.22,2205.03
log2025-06-13 09:31:53.430175.txt,CERNET,0.06,Normal,,Normal,未擾動,1293.165234,1746.238627,,1293.17,1746.24
log2025-06-13 09:39:21.598190.txt,CERNET,0.06,Normal,,Mixup,擾動,1554.928174,2212.061101,,1554.93,2212.06
log2025-06-13 09:39:21.598190.txt,CERNET,0.06,Normal,,Mixup,未擾動,1313.749683,1868.962091,,1313.75,1868.96
log2025-06-13 09:39:21.598190.txt,CERNET,0.06,Normal,,Normal,擾動,1808.240039,2292.976697,,1808.24,2292.98
log2025-06-13 09:39:21.598190.txt,CERNET,0.06,Normal,,Normal,未擾動,1320.989905,1788.427516,,1320.99,1788.43
log2025-06-13 09:45:45.103032.txt,CERNET,0.09,FGSM,,AT,擾動,2038.6776,2640.217302,,2038.68,2640.22
log2025-06-13 09:45:45.103032.txt,CERNET,0.09,FGSM,,AT,未擾動,1512.406421,2023.208016,,1512.41,2023.21
log2025-06-13 09:45:45.103032.txt,CERNET,0.09,FGSM,,Normal,擾動,2298.211548,2849.936129,,2298.21,2849.94
log2025-06-13 09:45:45.103032.txt,CERNET,0.09,FGSM,,Normal,未擾動,1346.553796,1800.590474,,1346.55,1800.59
log2025-06-13 09:51:43.508351.txt,CERNET,0.09,FGSM,,Mixup,擾動,2038.480005,2659.893642,,2038.48,2659.89
log2025-06-13 09:51:43.508351.txt,CERNET,0.09,FGSM,,Mixup,未擾動,1437.733154,1980.779588,,1437.73,1980.78
log2025-06-13 09:51:43.508351.txt,CERNET,0.09,FGSM,,Normal,擾動,2280.213416,2834.944163,,2280.21,2834.94
log2025-06-13 09:51:43.508351.txt,CERNET,0.09,FGSM,,Normal,未擾動,1283.121277,1741.893303,,1283.12,1741.89
log2025-06-13 09:58:49.145648.txt,CERNET,0.09,Normal,,AT,擾動,1735.785474,2386.579282,,1735.79,2386.58
log2025-06-13 09:58:49.145648.txt,CERNET,0.09,Normal,,AT,未擾動,1585.002466,2112.152337,,1585,2112.15
log2025-06-13 09:58:49.145648.txt,CERNET,0.09,Normal,,Normal,擾動,2167.595898,2674.753902,,2167.6,2674.75
log2025-06-13 09:58:49.145648.txt,CERNET,0.09,Normal,,Normal,未擾動,1334.91991,1784.822986,,1334.92,1784.82
log2025-06-13 10:04:51.415622.txt,CERNET,0.09,Normal,,Mixup,擾動,1898.815369,2592.403905,,1898.82,2592.4
log2025-06-13 10:04:51.415622.txt,CERNET,0.09,Normal,,Mixup,未擾動,1433.724414,1968.807647,,1433.72,1968.81
log2025-06-13 10:04:51.415622.txt,CERNET,0.09,Normal,,Normal,擾動,2350.351416,2868.892205,,2350.35,2868.89
log2025-06-13 10:04:51.415622.txt,CERNET,0.09,Normal,,Normal,未擾動,1330.039917,1776.655614,,1330.04,1776.66
log2025-06-13 10:10:29.945152.txt,CERNET,0.15,FGSM,,AT,擾動,2364.887231,3120.80319,,2364.89,3120.8
log2025-06-13 10:10:29.945152.txt,CERNET,0.15,FGSM,,AT,未擾動,1700.018945,2321.658676,,1700.02,2321.66
log2025-06-13 10:10:29.945152.txt,CERNET,0.15,FGSM,,Normal,擾動,3001.4646,3815.628301,,3001.46,3815.63
log2025-06-13 10:10:29.945152.txt,CERNET,0.15,FGSM,,Normal,未擾動,1332.481067,1785.847105,,1332.48,1785.85
log2025-06-13 10:19:06.353510.txt,CERNET,0.15,FGSM,,Mixup,擾動,2435.633728,3141.03225,,2435.63,3141.03
log2025-06-13 10:19:06.353510.txt,CERNET,0.15,FGSM,,Mixup,未擾動,1544.86673,2122.282224,,1544.87,2122.28
log2025-06-13 10:19:06.353510.txt,CERNET,0.15,FGSM,,Normal,擾動,3015.836975,3786.146832,,3015.84,3786.15
log2025-06-13 10:19:06.353510.txt,CERNET,0.15,FGSM,,Normal,未擾動,1202.142273,1656.840931,,1202.14,1656.84
